Ignition rate,Success Rate
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
0.8500000000000001,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
0.8500000000000001,0.0
0.9,0.0
Ignition Rate,Success Rate
0.0,0.1
0.05,0.1
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
0.8500000000000001,0.0
0.9,0.0
0.9500000000000001,0.0
Ignition Rate,Success Rate
0.0,0.7
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
0.8500000000000001,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
0.8500000000000001,0.0
0.9,0.0
Ignition Rate,Success Rate
0.0,0.7
0.05,0.7
0.1,0.2
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
0.8500000000000001,0.0
0.9,0.0
0.9500000000000001,0.0
